"Cod","Modelo","Marca","Medidas","Color","Stock","Bodega","Ubicación"
"2091","XC-41","ANDVAS","54-17-140","C5","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2090","A2009","ANDVAS","56-17-145","C2","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2089","3013G27","ANDVAS","55-16-132","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2088","FJ8001","ANDVAS","54-16-140","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2087","A2115","ANDVAS","53-19-145","C2","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2086","15248","ANDVAS","48-16-130","C14","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2085","FJ8002","ANDVAS","58-17-140","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2084","UT147","ANDVAS","55-16-140","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2084","UT147","ANDVAS","55-16-140","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR"
"2083","FJ8004","ANDVAS","53-16-140","C2","2","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2082","3020G27","ANDVAS","50-19-140","C2","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2081","DC8110","ANDVAS","48-17-130","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2080","HD135","ANDVAS","54-16-140","COL. 01","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2079","RX7104","ANDVAS","56-16-140","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2078","F172","ANDVAS","52-18-140","C501","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2077","XC-47","ANDVAS","55-17-140","C5","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2076","F102","ANDVAS","54-16-140","C501","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2075","XC52","ANDVAS","54-17-142","C5","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"2074","US85","4U","52-19-140","BROWN","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1910","F177","ANDVAS","51-17-135","C501","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1906","A2029","ANDVAS","55-17-145","C5","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1568","HD133","ANDVAS","52-16-140","COL 01","2","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1564","A2107","ANDVAS","53-17-142","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1559","FJ8001","ANDVAS","54-16-140","C3","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1557","FJ8001","ANDVAS","54-16-140","C5","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1524","UT159","ANDVAS","55-18-140","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1487","A2036","ANDVAS","55-17-142","C3","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1397","88772","ANDVAS","54-17-140","C1","2","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1384","HD101","ANDVAS","55-17-140","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1365","A0087","ANDVAS","47-19-145","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1357","A2014","ANDVAS","52-16-140","C1","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1265","A2002","ANDVAS","53-16-142","C1","2","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1257","FJ8001","ANDVAS","54-16-140","C4","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1220","FJ8002","ANDVAS","56-17-140","C5","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1212","A2113","ANDVAS","53-20-140","C3","1","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1203","A2003","ANDVAS","53-17-142","C1","2","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"1193","A2029","ANDVAS","55-17-145","C10","2","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
"859","A2005","ANDVAS","53-17-142","C5","2","Metrocentro","Gav#14 ANDVAS TODO COLOR MASCULINO/FEMENINO"
